username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-09-12 07:16;6;87;"My favourite word is something else for people like you";;;;"907578581705826304";https://twitter.com/Nidhi/status/907578581705826304
;2017-09-12 07:10;2;65;"Am flattered";;;;"907577257790603264";https://twitter.com/Nidhi/status/907577257790603264
;2017-09-12 06:55;9;109;"Er he has tagged me genius";;;;"907573282550902784";https://twitter.com/Nidhi/status/907573282550902784
;2017-09-12 06:46;0;6;"Lol";;;;"907571079232634881";https://twitter.com/Nidhi/status/907571079232634881
;2017-09-12 06:37;949;2071;"Oh look who popped up on my timeline. The guy who called Gauri Lankesh a "bitch who died a dog's death". Sorry buddy, but get lost https:// twitter.com/nikhildadhich/ status/907567237044649984 …";;;;"907568788459053056";https://twitter.com/Nidhi/status/907568788459053056
;2017-09-12 05:52;0;1;"You're welcome";;;;"907557472944013313";https://twitter.com/Nidhi/status/907557472944013313
;2017-09-12 05:39;0;2;"Yup agree. But no one will ever admit that on record";;;;"907554241929109504";https://twitter.com/Nidhi/status/907554241929109504
;2017-09-12 05:23;0;0;"Oman Observer In compliance with His Majesty Sultan Qaboos bin Said, Oman in coord with Yemeni parties have managed find a Vatican priest.";;;;"907550187190546432";https://twitter.com/Nidhi/status/907550187190546432
;2017-09-12 04:12;0;1;"Haha you're waiting for it";;;;"907532266959659009";https://twitter.com/Nidhi/status/907532266959659009
;2017-09-12 02:39;1507;2919;"And that is why an army of BJP spokespersons have reacted and the I and B Minister held a press conference on him https:// twitter.com/economictimes/ status/907501458144161792 …";;;;"907509005311864832";https://twitter.com/Nidhi/status/907509005311864832
;2017-09-11 22:29;0;29;"Many Indian political leaders don't give regular intws - whether the PM or Sonia Gandhi or RG or Mamata, Mayawati.";;;;"907445993968300033";https://twitter.com/Nidhi/status/907445993968300033
;2017-09-11 08:50;135;360;"At 8pm: is school safety even a priority?Why have no protocols been in place ?And why so many glitches in the GST network ?Govt unprepared?";;;;"907239943986016257";https://twitter.com/Nidhi/status/907239943986016257
;2017-09-11 04:28;89;401;"Has been good to see the conciliatory tone and outreach of the Home Min in Kashmir. Hope it's followed up @rajnathsingh https:// twitter.com/ndtv/status/90 7172702829473794 …";;@rajnathsingh;;"907173952358772736";https://twitter.com/Nidhi/status/907173952358772736
;2017-09-11 04:26;0;7;"Um no, they are not equal. The Prime Minister of India is not the same as a University student";;;;"907173464636743680";https://twitter.com/Nidhi/status/907173464636743680
;2017-09-11 04:15;0;1;"And what's the point of that? If she's abusing, I don't condone it. But what does that have to do with the PM?";;;;"907170730885791744";https://twitter.com/Nidhi/status/907170730885791744
;2017-09-11 04:12;2;19;"He's the PM of the country. What is the message being sent if he follows handles that celebrate murder? Are you comparing Shehla to PM?";;;;"907169867115016192";https://twitter.com/Nidhi/status/907169867115016192
;2017-09-11 03:44;31;81;"Really sick of it now";;;;"907162842406600705";https://twitter.com/Nidhi/status/907162842406600705
;2017-09-11 03:43;58;357;"Shehla is not the Prime Minister of India. There's a difference";;;;"907162717194043392";https://twitter.com/Nidhi/status/907162717194043392
;2017-09-10 12:15;1;14;"Her comment talks about "libtards". So was very much directed at me. Am tied of being abused and won't just sit back and take it";;;;"906929093098094592";https://twitter.com/Nidhi/status/906929093098094592
;2017-09-10 12:13;0;3;"Hasn't the world turned upside down ?";;;;"906928587856535554";https://twitter.com/Nidhi/status/906928587856535554
;2017-09-10 12:08;10;151;"How convenient of you to ignore what was said to me :)";;;;"906927281779572736";https://twitter.com/Nidhi/status/906927281779572736
;2017-09-10 10:38;54;229;"Absolutely https:// twitter.com/tvmohandaspai/ status/906900620535148544 …";;;;"906904651601125376";https://twitter.com/Nidhi/status/906904651601125376
;2017-09-10 10:01;12;66;"Ok sure https:// twitter.com/time/status/90 6890532462493696 …";;;;"906895367685292032";https://twitter.com/Nidhi/status/906895367685292032
;2017-09-10 09:46;0;18;"Lol";;;;"906891690207625216";https://twitter.com/Nidhi/status/906891690207625216
;2017-09-10 09:27;44;246;"Horrible, humid day in Delhi. However the Met Dept has predicted "thundery development tomorrow"";;;;"906886966632882176";https://twitter.com/Nidhi/status/906886966632882176
;2017-09-10 09:04;61;296;"Hmmm https:// twitter.com/outlookindia/s tatus/906857638733873152 …";;;;"906881054690000896";https://twitter.com/Nidhi/status/906881054690000896
